Category,Metric,Value
RR_Intervals,Total,116484
RR_Intervals,Valid,115938
RR_Intervals,Invalid,546
RR_Intervals,Valid_Ratio,99.53%
Windows,Total,85690
Windows,REST,27879
Windows,GESTURE,57811
Overall_HR_HRV,Mean_HR_bpm,80.60
Overall_HR_HRV,Std_HR_bpm,12.22
Overall_HR_HRV,SDNN_ms,108.23
Overall_HR_HRV,RMSSD_ms,56.46
Overall_HR_HRV,pNN50_%,13.09
Window_Avg_ALL,N_Windows,85690
Window_Avg_ALL,Mean_HR_bpm,79.38
Window_Avg_ALL,Std_HR_bpm,9.75
Window_Avg_ALL,Mean_SDNN_ms,45.63
Window_Avg_ALL,Mean_RMSSD_ms,38.20
Window_Avg_ALL,Mean_pNN50_%,13.42
Window_Avg_REST,N_Windows,27879
Window_Avg_REST,Mean_HR_bpm,79.77
Window_Avg_REST,Mean_SDNN_ms,46.67
Window_Avg_REST,Mean_RMSSD_ms,39.42
Window_Avg_REST,Mean_pNN50_%,14.05
Window_Avg_GESTURE,N_Windows,57811
Window_Avg_GESTURE,Mean_HR_bpm,79.19
Window_Avg_GESTURE,Mean_SDNN_ms,45.13
Window_Avg_GESTURE,Mean_RMSSD_ms,37.62
Window_Avg_GESTURE,Mean_pNN50_%,13.12
